mean_satisfaction_rate,mean_runtime_seconds,full_satisfaction_success_rate,mean_unsatisfied_clauses,run_count,full_satisfaction_count,worst_runtime_seconds,worst_satisfaction_rate,algorithm_name,n,ratio
1.0,0.2108222000533715,1.0,0.0,1,1,0.2108222000533715,1.0,Memetic GA-SA (Classic refine),100,3.0
0.9906976744186047,7.279796999995597,0.0,4.0,1,0,7.279796999995597,0.9906976744186047,Memetic GA-SA (Classic refine),100,4.3
0.9733333333333334,18.81917869998142,0.0,16.0,1,0,18.81917869998142,0.9733333333333334,Memetic GA-SA (Classic refine),100,6.0
0.9955555555555555,5.990904000005685,0.0,2.0,1,0,5.990904000005685,0.9955555555555555,Memetic GA-SA (Classic refine),150,3.0
0.986046511627907,22.185047200066037,0.0,9.0,1,0,22.185047200066037,0.986046511627907,Memetic GA-SA (Classic refine),150,4.3
0.9777777777777777,32.383455500006676,0.0,20.0,1,0,32.383455500006676,0.9777777777777777,Memetic GA-SA (Classic refine),150,6.0
0.9983333333333333,9.79058640007861,0.0,1.0,1,0,9.79058640007861,0.9983333333333333,Memetic GA-SA (Classic refine),200,3.0
0.9837209302325581,32.33830179995857,0.0,14.0,1,0,32.33830179995857,0.9837209302325581,Memetic GA-SA (Classic refine),200,4.3
0.9766666666666667,45.001702299923636,0.0,28.0,1,0,45.001702299923636,0.9766666666666667,Memetic GA-SA (Classic refine),200,6.0
1.0,0.11819750000722706,1.0,0.0,1,1,0.11819750000722706,1.0,Memetic GA-SA (Enhanced SA refine),100,3.0
0.9976744186046511,18.6983206999721,0.0,1.0,1,0,18.6983206999721,0.9976744186046511,Memetic GA-SA (Enhanced SA refine),100,4.3
0.9833333333333333,28.248035999946296,0.0,10.0,1,0,28.248035999946296,0.9833333333333333,Memetic GA-SA (Enhanced SA refine),100,6.0
1.0,0.35431719990447164,1.0,0.0,1,1,0.35431719990447164,1.0,Memetic GA-SA (Enhanced SA refine),150,3.0
0.9968992248062015,36.98377050005365,0.0,2.0,1,0,36.98377050005365,0.9968992248062015,Memetic GA-SA (Enhanced SA refine),150,4.3
0.9855555555555555,53.65809809998609,0.0,13.0,1,0,53.65809809998609,0.9855555555555555,Memetic GA-SA (Enhanced SA refine),150,6.0
1.0,0.46131039992906153,1.0,0.0,1,1,0.46131039992906153,1.0,Memetic GA-SA (Enhanced SA refine),200,3.0
0.9976744186046511,52.913819700013846,0.0,2.0,1,0,52.913819700013846,0.9976744186046511,Memetic GA-SA (Enhanced SA refine),200,4.3
0.9866666666666667,46.998797000036575,0.0,16.0,1,0,46.998797000036575,0.9866666666666667,Memetic GA-SA (Enhanced SA refine),200,6.0
