mean_satisfaction_rate,mean_runtime_seconds,full_satisfaction_success_rate,mean_unsatisfied_clauses,run_count,full_satisfaction_count,worst_runtime_seconds,worst_satisfaction_rate,algorithm_name,ratio
0.9931755952380952,5.379711325003882,0.125,13.25,8,1,10.966618799953721,0.9816666666666667,Simulated Annealing (Baseline),3.0
0.9866542081949059,7.739109562491649,0.0,34.0,8,0,15.718811099999584,0.9704651162790697,Simulated Annealing (Baseline),4.3
0.9751656746031746,10.654405037508695,0.0,73.5,8,0,21.937440900015645,0.9631666666666666,Simulated Annealing (Baseline),6.0
0.9652630208333334,14.856555550009944,0.0,132.125,8,0,30.020295900059864,0.950625,Simulated Annealing (Baseline),8.0
0.9579782738095238,15.342841437479365,0.0,196.5,8,0,35.612300899927504,0.9462,Simulated Annealing (Baseline),10.0
0.9995575396825397,1.1990227375063114,0.625,0.875,8,5,3.185317400027998,0.9985714285714286,Simulated Annealing (Enhanced),3.0
0.9954166666666666,3.312427725031739,0.0,8.625,8,0,7.9826920999912545,0.9922480620155039,Simulated Annealing (Enhanced),4.3
0.9847981150793651,5.31523228752485,0.0,37.0,8,0,12.129464800003916,0.9816666666666667,Simulated Annealing (Enhanced),6.0
0.9753147321428571,5.240401087503415,0.0,83.5,8,0,11.912767800036818,0.9735,Simulated Annealing (Enhanced),8.0
0.9660151785714286,6.659617249970324,0.0,142.625,8,0,14.865014599985443,0.9605,Simulated Annealing (Enhanced),10.0
