instance_name,n,m,ratio,generator_seed,solver_seed,algorithm_name,best_satisfied_clauses,total_clauses,satisfaction_rate,unsatisfied_clauses,runtime_seconds,iterations_used,fully_satisfied,iteration_of_best
3sat_n300_r6_i00.json,300,1800,6.0,306005142,306005159,Simulated Annealing (Enhanced),1775,1800,0.9861111111111112,25,2.961859100032598,7076,False,1748
3sat_n300_r8_i00.json,300,2400,8.0,308006542,308006542,Simulated Annealing (Baseline),2318,2400,0.9658333333333333,82,8.937347800005227,3127,False,3009
3sat_n300_r8_i00.json,300,2400,8.0,308006542,308006559,Simulated Annealing (Enhanced),2338,2400,0.9741666666666666,62,3.1046825000084937,6015,False,2905
3sat_n300_r10_i00.json,300,3000,10.0,310007942,310007942,Simulated Annealing (Baseline),2889,3000,0.963,111,11.398327699978836,3127,False,2943
3sat_n300_r10_i00.json,300,3000,10.0,310007942,310007959,Simulated Annealing (Enhanced),2894,3000,0.9646666666666667,106,3.8628417999716476,6000,False,1553
3sat_n400_r3_i00.json,400,1200,3.0,403003342,403003342,Simulated Annealing (Baseline),1189,1200,0.9908333333333333,11,4.26059229997918,3127,False,2929
3sat_n400_r3_i00.json,400,1200,3.0,403003342,403003359,Simulated Annealing (Enhanced),1200,1200,1.0,0,0.13578699994832277,806,True,806
3sat_n400_r4.3_i00.json,400,1720,4.3,404304252,404304252,Simulated Annealing (Baseline),1694,1720,0.9848837209302326,26,6.260839199996553,3127,False,2836
3sat_n400_r4.3_i00.json,400,1720,4.3,404304252,404304269,Simulated Annealing (Enhanced),1712,1720,0.9953488372093023,8,2.4279686000663787,7385,False,3979
3sat_n400_r6_i00.json,400,2400,6.0,406005442,406005442,Simulated Annealing (Baseline),2344,2400,0.9766666666666667,56,8.522449199925177,3127,False,2790
3sat_n400_r6_i00.json,400,2400,6.0,406005442,406005459,Simulated Annealing (Enhanced),2365,2400,0.9854166666666667,35,3.580614000093192,7413,False,2220
3sat_n400_r8_i00.json,400,3200,8.0,408006842,408006842,Simulated Annealing (Baseline),3093,3200,0.9665625,107,11.235418200027198,3127,False,3043
3sat_n400_r8_i00.json,400,3200,8.0,408006842,408006859,Simulated Annealing (Enhanced),3130,3200,0.978125,70,3.9337714000139385,6396,False,1779
