mean_satisfaction_rate,mean_runtime_seconds,full_satisfaction_success_rate,mean_unsatisfied_clauses,run_count,full_satisfaction_count,worst_runtime_seconds,worst_satisfaction_rate,algorithm_name,n
0.9844682170542636,1.7654658199986444,0.2,12.8,5,1,2.8138008000096306,0.968,Simulated Annealing (Baseline),100
0.9817839793281654,2.7865624599857255,0.0,20.8,5,0,4.46987489995081,0.9693333333333334,Simulated Annealing (Baseline),150
0.9795372093023256,4.351150100026279,0.0,33.6,5,0,7.23738070006948,0.956,Simulated Annealing (Baseline),200
0.9795056847545219,7.118159060017206,0.0,48.6,5,0,11.398327699978836,0.963,Simulated Annealing (Baseline),300
0.9753392441860466,9.036913059977815,0.0,73.8,5,0,14.905266399960965,0.95775,Simulated Annealing (Baseline),400
0.9735032558139535,19.466383060021325,0.0,99.8,5,0,30.020295900059864,0.9564,Simulated Annealing (Baseline),500
0.9686165559246954,19.529904939979314,0.0,162.4,5,0,27.340888599981554,0.9471428571428572,Simulated Annealing (Baseline),700
0.9624246899224806,22.301658159983344,0.0,267.2,5,0,35.612300899927504,0.9462,Simulated Annealing (Baseline),1000
0.9849182170542635,0.5759170199744403,0.2,12.4,5,1,0.9970126999542117,0.969,Simulated Annealing (Enhanced),100
0.9848162790697674,0.9278312400216236,0.2,18.4,5,1,1.543414800078608,0.9693333333333334,Simulated Annealing (Enhanced),150
0.983068992248062,1.5114514200016855,0.2,28.4,5,1,2.5536878999555483,0.9605,Simulated Annealing (Enhanced),200
0.984146511627907,2.4658860000083225,0.0,39.6,5,0,3.8628417999716476,0.9646666666666667,Simulated Annealing (Enhanced),300
0.9847281007751938,3.6395594200119374,0.2,50.8,5,1,8.119656099937856,0.96475,Simulated Annealing (Enhanced),400
0.9836637209302326,8.321926660020836,0.2,66.4,5,1,11.912767800036818,0.9674,Simulated Annealing (Enhanced),500
0.9842650055370985,7.400270400010049,0.0,90.2,5,0,10.056143200024962,0.9665714285714285,Simulated Annealing (Enhanced),700
0.9841567441860465,9.919879580009729,0.0,130.0,5,0,14.865014599985443,0.9659,Simulated Annealing (Enhanced),1000
