mean_satisfaction_rate,mean_runtime_seconds,full_satisfaction_success_rate,mean_unsatisfied_clauses,run_count,full_satisfaction_count,worst_runtime_seconds,worst_satisfaction_rate,algorithm_name,n,ratio
1.0,0.6657985000638291,1.0,0.0,1,1,0.6657985000638291,1.0,Simulated Annealing (Baseline),100,3.0
0.9976744186046511,1.417584899929352,0.0,1.0,1,0,1.417584899929352,0.9976744186046511,Simulated Annealing (Baseline),100,4.3
0.9816666666666667,1.6600771000375971,0.0,11.0,1,0,1.6600771000375971,0.9816666666666667,Simulated Annealing (Baseline),100,6.0
0.975,2.2700677999528125,0.0,20.0,1,0,2.2700677999528125,0.975,Simulated Annealing (Baseline),100,8.0
0.968,2.8138008000096306,0.0,32.0,1,0,2.8138008000096306,0.968,Simulated Annealing (Baseline),100,10.0
0.9955555555555555,1.2922162000322714,0.0,2.0,1,0,1.2922162000322714,0.9955555555555555,Simulated Annealing (Baseline),150,3.0
0.9906976744186047,1.8818302999716252,0.0,6.0,1,0,1.8818302999716252,0.9906976744186047,Simulated Annealing (Baseline),150,4.3
0.98,2.635474200011231,0.0,18.0,1,0,2.635474200011231,0.98,Simulated Annealing (Baseline),150,6.0
0.9733333333333334,3.6534166999626905,0.0,32.0,1,0,3.6534166999626905,0.9733333333333334,Simulated Annealing (Baseline),150,8.0
0.9693333333333334,4.46987489995081,0.0,46.0,1,0,4.46987489995081,0.9693333333333334,Simulated Annealing (Baseline),150,10.0
0.9983333333333333,1.8086765999905765,0.0,1.0,1,0,1.8086765999905765,0.9983333333333333,Simulated Annealing (Baseline),200,3.0
0.9941860465116279,2.8043448999524117,0.0,5.0,1,0,2.8043448999524117,0.9941860465116279,Simulated Annealing (Baseline),200,4.3
0.9816666666666667,4.194280500058085,0.0,22.0,1,0,4.194280500058085,0.9816666666666667,Simulated Annealing (Baseline),200,6.0
0.9675,5.711067800060846,0.0,52.0,1,0,5.711067800060846,0.9675,Simulated Annealing (Baseline),200,8.0
0.956,7.23738070006948,0.0,88.0,1,0,7.23738070006948,0.956,Simulated Annealing (Baseline),200,10.0
0.9977777777777778,3.610523800016381,0.0,2.0,1,0,3.610523800016381,0.9977777777777778,Simulated Annealing (Baseline),300,3.0
0.9914728682170543,4.695352500071749,0.0,11.0,1,0,4.695352500071749,0.9914728682170543,Simulated Annealing (Baseline),300,4.3
0.9794444444444445,6.949243500013836,0.0,37.0,1,0,6.949243500013836,0.9794444444444445,Simulated Annealing (Baseline),300,6.0
0.9658333333333333,8.937347800005227,0.0,82.0,1,0,8.937347800005227,0.9658333333333333,Simulated Annealing (Baseline),300,8.0
0.963,11.398327699978836,0.0,111.0,1,0,11.398327699978836,0.963,Simulated Annealing (Baseline),300,10.0
0.9908333333333333,4.26059229997918,0.0,11.0,1,0,4.26059229997918,0.9908333333333333,Simulated Annealing (Baseline),400,3.0
