mean_satisfaction_rate,mean_runtime_seconds,mean_unsatisfied_clauses,full_satisfaction_rate,full_satisfaction_count,run_count,best_satisfaction_rate,worst_satisfaction_rate,worst_runtime_seconds,algorithm_name,n
0.9924547803617572,2.708855399939542,2.0,0.3333333333333333,1,3,1.0,0.9866666666666667,4.456947699887678,Genetic Algorithm,50
0.9907881136950905,6.705183699959889,5.0,0.3333333333333333,1,3,1.0,0.9816666666666667,10.004063899978064,Genetic Algorithm,100
0.9889750215331611,9.222980699967593,8.666666666666666,0.0,0,3,0.9977777777777778,0.98,11.833893099916168,Genetic Algorithm,150
0.9894509043927648,21.03911136665071,11.333333333333334,0.0,0,3,0.9966666666666667,0.9775,31.436790400068276,Genetic Algorithm,200
0.9856821705426356,31.528664233357024,37.0,0.0,0,3,0.996,0.975,34.955699300044216,Genetic Algorithm,500
0.9924547803617572,0.37210406669570756,2.0,0.3333333333333333,1,3,1.0,0.9866666666666667,0.585078899981454,Simulated Annealing,50
0.9928940568475452,0.5367852333389843,4.0,0.3333333333333333,1,3,1.0,0.9833333333333333,0.823159100022167,Simulated Annealing,100
0.9948923341946597,0.7801160333522906,4.333333333333333,0.3333333333333333,1,3,1.0,0.9877777777777778,1.3127673000562936,Simulated Annealing,150
0.9942248062015504,1.4312191666491951,6.666666666666667,0.3333333333333333,1,3,1.0,0.985,2.2886655000038445,Simulated Annealing,200
0.9919405684754522,3.0322449333422505,22.333333333333332,0.3333333333333333,1,3,1.0,0.9823333333333333,4.484294299967587,Simulated Annealing,500
