algorithm_name,mean_best_satisfied_clauses,max_best_satisfied_clauses,mean_satisfaction_rate,best_satisfaction_rate,mean_runtime,median_runtime,std_runtime,mean_unsatisfied_clauses,full_satisfiability_count,runs,relative_rank
Tabu Search,300,300,1.0,1.0,2.1151147600088733,2.304849900014233,0.4650502166407679,0,5,5,1
Simulated Annealing,299.8,300,0.9993333333333333,1.0,0.19015943999984303,0.1950187000038568,0.02755966022963109,0.2,4,5,2
Genetic Algorithm,299.4,300,0.998,1.0,2.458769159996882,3.508367799979169,1.3116026124273241,0.6,2,5,3
Hill Climbing,299,300,0.9966666666666667,1.0,2.498373660002835,3.0679333000152837,0.8470453614935007,1,3,5,4
Hybrid BSGO-GA,299,299,0.9966666666666667,0.9966666666666667,6.967269719997421,7.025613800011342,0.2007937280881428,1,0,5,5
Binary Swarm (BSGO),285.6,288,0.952,0.96,4.306227339996258,4.303856100013945,0.01530344012397651,14.4,0,5,6
