mean_satisfaction_rate,mean_runtime_seconds,mean_unsatisfied_clauses,full_satisfaction_rate,full_satisfaction_count,run_count,best_satisfaction_rate,worst_satisfaction_rate,worst_runtime_seconds,algorithm_name,instance_name,n,ratio
1.0,4.530659349984489,0.0,1.0,2,2,1.0,1.0,8.50123719999101,Genetic Algorithm,3sat_n100_r3.json,100,3.0
0.9953488372093022,10.730289250030182,2.0,0.0,0,2,0.9976744186046511,0.9930232558139535,10.966776599991135,Genetic Algorithm,3sat_n100_r4.3.json,100,4.3
0.9833333333333333,15.871603000035975,10.0,0.0,0,2,0.9833333333333333,0.9833333333333333,16.336903000017628,Genetic Algorithm,3sat_n100_r6.json,100,6.0
1.0,2.3331640499527566,0.0,1.0,2,2,1.0,1.0,3.460435999906622,Genetic Algorithm,3sat_n150_r3.json,150,3.0
0.9968992248062015,10.151433900056873,2.0,0.0,0,2,0.9968992248062015,0.9968992248062015,10.439493200043216,Genetic Algorithm,3sat_n150_r4.3.json,150,4.3
0.9872222222222222,12.958126900019124,11.5,0.0,0,2,0.9877777777777778,0.9866666666666667,13.093199099996127,Genetic Algorithm,3sat_n150_r6.json,150,6.0
1.0,9.047642999968957,0.0,1.0,2,2,1.0,1.0,11.094364000018686,Genetic Algorithm,3sat_n200_r3.json,200,3.0
0.9982558139534883,13.321859899966512,1.5,0.0,0,2,0.9988372093023256,0.9976744186046511,13.581485699978657,Genetic Algorithm,3sat_n200_r4.3.json,200,4.3
0.985,18.040917399979662,18.0,0.0,0,2,0.9866666666666667,0.9833333333333333,19.13615299994126,Genetic Algorithm,3sat_n200_r6.json,200,6.0
0.9986666666666666,17.11470834998181,2.0,0.0,0,2,0.9993333333333333,0.998,17.4255779000232,Genetic Algorithm,3sat_n500_r3.json,500,3.0
0.991860465116279,22.868803199962713,17.5,0.0,0,2,0.9920930232558139,0.9916279069767442,23.189597100019455,Genetic Algorithm,3sat_n500_r4.3.json,500,4.3
0.983,29.491205249971244,51.0,0.0,0,2,0.9836666666666667,0.9823333333333333,29.507443299982697,Genetic Algorithm,3sat_n500_r6.json,500,6.0
1.0,0.10660919995279983,0.0,1.0,2,2,1.0,1.0,0.10674009996000677,Genetic Algorithm,3sat_n50_r3.json,50,3.0
0.9906976744186047,6.053738699993119,2.0,0.0,0,2,0.9906976744186047,0.9906976744186047,6.192539900075644,Genetic Algorithm,3sat_n50_r4.3.json,50,4.3
0.9866666666666667,6.585231100034434,4.0,0.0,0,2,0.9866666666666667,0.9866666666666667,6.7147951000370085,Genetic Algorithm,3sat_n50_r6.json,50,6.0
