mean_satisfaction_rate,mean_runtime_seconds,mean_unsatisfied_clauses,full_satisfaction_rate,full_satisfaction_count,run_count,best_satisfaction_rate,worst_satisfaction_rate,worst_runtime_seconds,algorithm_name,n
0.9924547803617572,5.773023133321355,2.0,0.3333333333333333,1,3,1.0,0.9866666666666667,8.750680199940689,Genetic Algorithm,50
0.9889018087855297,25.451113433305483,6.0,0.3333333333333333,1,3,1.0,0.9783333333333334,39.91212799993809,Genetic Algorithm,100
0.9866838931955211,60.23582053335849,10.0,0.0,0,3,0.9955555555555555,0.98,82.84083310002461,Genetic Algorithm,150
0.9840116279069767,86.178884966687,16.0,0.0,0,3,0.99,0.9725,109.12604550004471,Genetic Algorithm,200
0.9821963824289406,133.3231564000016,44.666666666666664,0.0,0,3,0.992,0.9713333333333334,198.79108360002283,Genetic Algorithm,500
0.9924547803617572,6.269604099953237,2.0,0.3333333333333333,1,3,1.0,0.9866666666666667,10.912906499928795,Memetic GA-SA,50
0.9934496124031008,14.308747633360326,3.6666666666666665,0.3333333333333333,1,3,1.0,0.985,22.972729700035416,Memetic GA-SA,100
0.9962962962962963,22.818324866627034,3.3333333333333335,0.6666666666666666,2,3,1.0,0.9888888888888889,40.06505019997712,Memetic GA-SA,150
0.9954457364341085,28.86444966661899,5.333333333333333,0.3333333333333333,1,3,1.0,0.9875,49.49976329994388,Memetic GA-SA,200
0.9908320413436693,9.647658100002445,24.333333333333332,0.0,0,3,0.9986666666666667,0.9826666666666667,13.278778100037016,Memetic GA-SA,500
0.9924547803617572,0.42938656666471314,2.0,0.3333333333333333,1,3,1.0,0.9866666666666667,0.8044748000102118,Simulated Annealing,50
0.9928940568475452,0.7905269333083803,4.0,0.3333333333333333,1,3,1.0,0.9833333333333333,1.4883928999770433,Simulated Annealing,100
0.9948923341946597,1.1224190666495513,4.333333333333333,0.3333333333333333,1,3,1.0,0.9877777777777778,2.1017632000148296,Simulated Annealing,150
0.9942248062015504,1.6357068333309144,6.666666666666667,0.3333333333333333,1,3,1.0,0.985,3.2545733000151813,Simulated Annealing,200
0.9919405684754522,2.729562733361187,22.333333333333332,0.3333333333333333,1,3,1.0,0.9823333333333333,4.124693299992941,Simulated Annealing,500
